id,Localidad
1,09016MIGUEL HIDALGO
2,09005GUSTAVO A. MADERO
3,09003COYOACÁN
4,09010ÁLVARO OBREGÓN
5,09011TLÁHUAC
6,09007IZTAPALAPA
7,01001AGUASCALIENTES
8,02001ENSENADA
9,02002MEXICALI
10,26055SAN LUIS RÍO COLORADO
11,02004TIJUANA
12,03003LA PAZ
13,04003CIUDAD DEL CARMEN
14,07101TUXTLA GUTIÉRREZ
15,08021DELICIAS
16,08037JUÁREZ
17,08019CHIHUAHUA
18,08036JIMÉNEZ
19,08050NUEVO CASAS GRANDES
20,05010FRONTERA
21,05024PARRAS
22,05028SABINAS
23,05030SALTILLO
24,05035TORREÓN
25,06002COLIMA
26,06010VILLA DE ÁLVAREZ
27,10005DURANGO
28,15020COACALCO DE BERRIOZÁBAL
29,15024CUAUTITLÁN
30,15033ECATEPEC DE MORELOS
31,15081TECAMAC
32,15104TLALNEPANTLA DE BAZ
33,15051LERMA
34,15057NAUCALPAN DE JUÁREZ
35,15106TOLUCA
36,11011CORTAZAR
37,11017IRAPUATO
38,11020LEÓN
39,11003SAN MIGUEL DE ALLENDE
40,12001ACAPULCO DE JUÁREZ
41,13048PACHUCA DE SOTO
42,14039GUADALAJARA
43,14053LAGOS DE MORENO
44,14097TLAJOMULCO DE ZÚÑIGA
45,14101TONALÁ
46,14120ZAPOPAN
47,16053MORELIA
48,16098TUXPAN
49,16112ZITÁCUARO
50,17007CUERNAVACA
51,17011JIUTEPEC
52,18017TEPIC
53,19009CADEREYTA JIMÉNEZ
54,19026GUADALUPE
55,19039MONTERREY
56,19019SAN PEDRO GARZA GARCÍA
57,20067OAXACA DE JUÁREZ
58,21114PUEBLA
59,21156TEHUACÁN
60,21174TEZIUTLÁN
61,22014QUERÉTARO
62,22017TEQUISQUIAPAN
63,23005BENITO JUÁREZ
64,23001COZUMEL
65,24028SAN LUIS POTOSÍ
66,24035SOLEDAD DE GRACIANO SÁNCHEZ
67,25006CULIACÁN
68,25011GUASAVE
69,25012MAZATLÁN
70,26018CAJEME
71,26029GUAYMAS
72,26030HERMOSILLO
73,26042NAVOJOA
74,26043NOGALES
75,26048PUERTO PEÑASCO
76,27004CENTRO
77,28009CIUDAD MADERO
78,28041VICTORIA
79,28022MATAMOROS
80,30123PÁNUCO
81,28032REYNOSA
82,28038TAMPICO
83,29033TLAXCALA
84,30124PAPANTLA
85,30193VERACRUZ
86,30039COATZACOALCOS
87,30108MINATITLÁN
88,31050MÉRIDA
89,31052MOTUL
90,32017GUADALUPE
91,32056ZACATECAS
92,09015CUAUHTÉMOC
93,09002AZCAPOTZALCO
94,09017VENUSTIANO CARRANZA
95,09012TLALPAN
96,09014BENITO JUÁREZ
97,02003TECATE
98,04002CAMPECHE
99,07040HUIXTLA
100,07078SAN CRISTOBAL DE LAS CASAS
101,08001AHUMADA
102,08052OJINAGA
103,05003ALLENDE
104,05009FRANCISCO I. MADERO
105,15029CHICOLOAPAN
106,15058NEZAHUALCÓYOTL
107,15099TEXCOCO
108,15054METEPEC
109,11007CELAYA
110,11031SAN FRANCISCO DEL RINCÓN
111,11015GUANAJUATO
112,13003ACTOPAN
113,13076TULA DE ALLENDE
114,14082SAYULA
115,14098SAN PEDRO TLAQUEPAQUE
116,14015AUTLÁN DE NAVARRO
117,14067PUERTO VALLARTA
118,14070EL SALTO
119,14008ARANDAS
120,14023ZAPOTLÁN EL GRANDE
121,16108ZAMORA
122,17006CUAUTLA
123,17018TEMIXCO
124,19006APODACA
125,19012CIÉNEGA DE FLORES
126,21019ATLIXCO
127,22016SAN JUAN DEL RÍO
128,25001AHOME
129,25009ESCUINAPA
130,28033RÍO BRAVO
131,28040VALLE HERMOSO
132,29010CHIAUTEMPAN
133,30087XALAPA
134,30118ORIZABA
135,30044CÓRDOBA
136,30003ACAYUCAN
137,31102VALLADOLID
138,31096TIZIMÍN
139,32024LORETO
140,32020JEREZ
141,09008LA MAGDALENA CONTRERAS
142,09013XOCHIMILCO
143,03008LOS CABOS
144,07009ARRIAGA
145,08032HIDALGO DEL PARRAL
146,08011CAMARGO
147,05025PIEDRAS NEGRAS
148,05033SAN PEDRO
149,05027RAMOS ARIZPE
150,06007MANZANILLO
151,06005CUAUHTÉMOC
152,15076SAN MATEO ATENCO
153,15013ATIZAPÁN DE ZARAGOZA
154,11021MOROLEÓN
155,11014DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL
156,12035IGUALA DE LA INDEPENDENCIA
157,13077TULANCINGO DE BRAVO
158,14063OCOTLÁN
159,16075LOS REYES
160,16102URUAPAN
161,18018TUXPAN
162,19004ALLENDE
163,19038MONTEMORELOS
164,19033LINARES
165,20079SALINA CRUZ
166,24020MATEHUALA
167,25015SALVADOR ALVARADO
168,25008ELOTA
169,26025EMPALME
170,26033HUATABAMPO
171,28003ALTAMIRA
172,29031TETLA DE LA SOLIDARIDAD
173,30131POZA RICA DE HIDALGO
174,30189TUXPAN
175,30174TIERRA BLANCA
176,32005CALERA
177,01011SAN FRANCISCO DE LOS ROMO
178,02005PLAYAS DE ROSARITO
179,07089TAPACHULA
180,07108VILLAFLORES
181,08062SAUCILLO
182,08017CUAUHTÉMOC
183,05007CUATROCIENEGAS
184,05022NAVA
185,10007GÓMEZ PALACIO
186,15025CHALCO
187,15048JOCOTITLÁN
188,15113VILLA GUERRERO
189,11027SALAMANCA
190,11002ACÁMBARO
191,13063TEPEJI DEL RÍO OCAMPO
192,14093TEPATITLAN DE MORELOS
193,16069LA PIEDAD
194,16052LÁZARO CÁRDENAS
195,18020BAHÍA DE BANDERAS
196,19048SANTA CATARINA
197,19046SAN NICOLÁS DE LOS GARZA
198,21140SAN PEDRO CHOLULA
199,22006CORREGIDORA
200,24024RIOVERDE
201,26017CABORCA
202,28027NUEVO LAREDO
203,29013HUAMANTLA
204,30038COATEPEC
205,30011ALVARADO
206,30030CAMERINO Z. MENDOZA
207,32010FRESNILLO
208,32036OJOCALIENTE
209,09004CUAJIMALPA DE MORELOS
210,09006IZTACALCO
211,03002MULEGÉ
212,07065PALENQUE
213,08045MEOQUI
214,08002ALDAMA
215,05018MONCLOVA
216,05017MATAMOROS
217,05020MÚZQUIZ
218,06001ARMERÍA
219,15070LA PAZ
